Date/Time,Media Description,Media Link
"You uploaded a feed photo on November 5, 2025 at 7:26 PM (GMT)", -,https://media.licdn.com/dms/image/v2/D5622AQGshJ1mvj2sng/feedshare-shrink_2048_1536/B56ZpVfA8GIcAw-/0/1762370789258?e=1770854400&v=beta&t=y5mfxRW7yPVysLKWGppdeck34W7NWS98H4b4t_q4dFY
"You uploaded a feed photo on November 5, 2025 at 7:26 PM (GMT)", -,https://media.licdn.com/dms/image/v2/D5622AQG6-P--rUUskA/feedshare-shrink_2048_1536/B56ZpVfA8EHIAw-/0/1762370787415?e=1770854400&v=beta&t=gG2f6ZnrAgXgD-CeWlO6PpKM02a-LA1l1n-ehqy9QL0
"You uploaded a feed photo on November 5, 2025 at 7:26 PM (GMT)", -,https://media.licdn.com/dms/image/v2/D5622AQGYa-ksQ2rM2Q/feedshare-shrink_2048_1536/B56ZpVfA8hH8A0-/0/1762370788539?e=1770854400&v=beta&t=do3aScTbZdKJmHzZOvN_WXRG9-MDQq6Va3ydZ0WMpWo
"You uploaded a feed photo on November 5, 2025 at 7:26 PM (GMT)", -,https://media.licdn.com/dms/image/v2/D5622AQE9RNTAcYOnJg/feedshare-shrink_480/B56ZpVfA8GJYAY-/0/1762370788445?e=1770854400&v=beta&t=GIDq8czKxjDHTzbeDF_TCv2esZR2H5VNTh0IVLdRKBU
"You uploaded a feed photo on November 5, 2025 at 7:26 PM (GMT)", -,https://media.licdn.com/dms/image/v2/D5622AQEEZKcBy6fI1g/feedshare-shrink_20/B56ZpVfA8BJsA0-/0/1762370786778?e=1770854400&v=beta&t=q0WjewdtdQIcjhhp0lFo5R7YayWZa7lyARVBxE1Qj34
"You uploaded a feed photo on November 5, 2025 at 7:26 PM (GMT)", -,https://media.licdn.com/dms/image/v2/D5622AQETjn0Po9YytA/feedshare-shrink_480/B56ZpVfA74KEAY-/0/1762370788078?e=1770854400&v=beta&t=A6qZCpKb_TjFnYPul0rz-F1mIQlQ4ic4HCesT_N-IKw
"You uploaded a photo on November 4, 2025 at 10:43 AM (GMT)", -,https://media.licdn.com/dms/image/v2/D562DAQEWGB6tICLTCQ/profile-treasury-image-shrink_8192_8192/B56ZpOdogYG0Ag-/0/1762252983376?e=1769576400&v=beta&t=bYkwLcJp1o6zO4wgWZ3FgOPVcA2A6CLVmBc9Tcnu5iw
"You uploaded a photo on October 28, 2025 at 8:00 PM (GMT)", -,https://media.licdn.com/dms/image/v2/D562DAQGCgs8KEqWS8g/profile-treasury-image-shrink_8192_8192/B56ZosaK_tJYAg-/0/1761681658223?e=1769576400&v=beta&t=1VnZgEQMoiZ2fj7k8xhC-_nZGq4jV1U0B9pmE8OTQmE
"You uploaded a photo on October 28, 2025 at 6:45 AM (GMT)", -,https://media.licdn.com/dms/image/v2/D562DAQFIDdGIWv1dMQ/profile-treasury-image-shrink_8192_8192/B56ZopkNLsIcAg-/0/1761633958485?e=1769576400&v=beta&t=r2hskwvjCiMm5ZxXEW4iF968WPzWmFkgaGVR3H2bL9s
"You uploaded a photo on October 28, 2025 at 6:44 AM (GMT)", -,https://media.licdn.com/dms/image/v2/D562DAQF6PKCYBf3Krw/profile-treasury-image-shrink_8192_8192/B56Zopjy7uG4Ag-/0/1761633920300?e=1769576400&v=beta&t=f9b3G72q-HGninOdFPSxkLT7jqZ860-nY_8WLPu5h_4
"You uploaded a feed photo on October 25, 2025 at 5:39 AM (GMT)","Beyond the final rank, the real trophy from BAJA SAEINDIA is the deep engineering experience. For my network of developers and roboticists, I wanted to share the core technical architecture that our team, Team Equinox, built to bring our autonomous vehicle to life.

My role was leading the Autonomous Systems Integration, the incredible challenge of bridging the high-level world of ROS 2 with the low-level reality of our vehicle's hardware. This was a journey in making two different worlds speak the same language.

Our entire system was architected around a central NVIDIA Jetson by Tanna TechBiz LLP running ROS 2 and connected to a Kvaser AB dual channel CAN adapter to interface it directly to the CAN network communicating with five distributed Arduino UNO R4 Minima microcontrollers over a robust CAN bus network. Each Arduino served as a dedicated, real-time ""muscle controller"" for a specific task (Startup, Dashboard, Throttle, Brakes, Steering).

This was a true team effort, and I was the fortunate integrator connecting the brilliant work of two major sub-teams:

First, the low-level Electrical Team, led by Naveen Shaji George and Muhammed Ajmal K with their incredible crew. They were the masters of the physical layer, designing the PCBs, building the complex wiring harness, and patiently debugging every circuit with me. Their work was the foundation everything was built on. When a relay fired unexpectedly or a sensor gave a noisy reading, they were the ones who found the solution in the hardware.

Second, the high-level Autonomous Software Team, led by ASHISH SHAJAN and Tomin Michael. They were the masters of the ""brain,"" developing the perception and control algorithms in ROS 2. They gave me the high-level commands?the ""what to do.""

My job was to build the ""how."" This involved architecting the CAN protocol, writing the firmware for the Arduino nodes, and developing the central C++ ROS 2 can_interface node that acted as the real-time translator between the two worlds. The challenge was immense, from solving CAN bus arbitration conflicts to tuning PD controllers for our actuators and designing safety-critical state machines to pass the rigorous Technical Inspections.

The interface node includes converting the Starkenn Technologies Radar encoded CAN data to ROS messages through the DBC file. 

This experience was a profound lesson in how crucial the role of a systems integrator is. It's about understanding both the hardware and software worlds deeply enough to make them work together seamlessly. A massive thank you to both teams and many others who worked behind the scenes, for their collaboration, patience, and expertise. We built this together. 

#BAJASAEINDIA #SystemsIntegration #CANbus #EmbeddedSystems #ROS2 #DriveByWire #ECU #ControlSystems #StateMachines #NVIDIAJetson #Arduino #Teamwork #Leadership #AutomotiveEngineering",
"You uploaded a feed photo on October 25, 2025 at 5:39 AM (GMT)", -,https://media.licdn.com/dms/image/v2/D5622AQHozymQ8mdP6w/feedshare-shrink_800/B56ZoZ4NwTIYAg-/0/1761370763750?e=1770854400&v=beta&t=9UGPmK8Ce6BDCxMj_Ii8uxf2MiIxShD-w5CRSa6WPFQ
"You uploaded a feed photo on October 25, 2025 at 5:39 AM (GMT)", -,https://media.licdn.com/dms/image/v2/D5622AQHmbQO4UMK4aw/feedshare-shrink_20/B56ZoZ4NwTI4A0-/0/1761370768023?e=1770854400&v=beta&t=7v1CjRx10ystZLaDXaLgo8pOxgwpAbl1Z2q-_g2Fk-8
"You uploaded a feed photo on October 25, 2025 at 5:39 AM (GMT)", -,https://media.licdn.com/dms/image/v2/D5622AQFfI5WzkeBAzA/feedshare-shrink_20/B56ZoZ4NwSG4A0-/0/1761370760387?e=1770854400&v=beta&t=zFjnAgisTGChfLmqwOo2Vr9vQnnkDWUeXf8Cpcc73QI
"You uploaded a feed photo on October 25, 2025 at 5:39 AM (GMT)", -,https://media.licdn.com/dms/image/v2/D5622AQG0dXSifyUBPw/feedshare-shrink_1280/B56ZoZ4NwGJsAs-/0/1761370759699?e=1770854400&v=beta&t=QNIkMHvMt01D12qyUfxXLrGTdLTr5wdGEeXrIiTnnrI
"You uploaded a feed photo on October 25, 2025 at 5:39 AM (GMT)", -,https://media.licdn.com/dms/image/v2/D5622AQHVXf7ZOOky8w/feedshare-shrink_160/B56ZoZ4Nv5IcAc-/0/1761370760020?e=1770854400&v=beta&t=sVWsTxXRez282HRS50I-Vjzer20BAyU6DNSt5nIcwu8
"You uploaded a feed photo on October 25, 2025 at 5:39 AM (GMT)", -,https://media.licdn.com/dms/image/v2/D5622AQHa2s7o0oZtOA/feedshare-shrink_800/B56ZoZ4NvjI0Ak-/0/1761370759962?e=1770854400&v=beta&t=tNQwrJqNY8_3bcvmKVyyzKz1xBfIvnTy7zDcQbMETP4
"You uploaded a feed document on October 13, 2025 at 6:39 AM (GMT)","It's been a month of intense focus and near radio silence, and now I can finally share the incredible story. This wasn't just a project; it was a year-long odyssey into the heart of real-world automotive engineering, culminating in a week of immense pressure and profound learning at BAJA SAEINDIA 2025.

I am unbelievably proud to announce that our new team, Team Equinox, has achieved an All India Rank of 7th and secured the 2nd position among all teams from Kerala!

Breaking into the Top 10 nationally on our first attempt is a monumental achievement, but the true victory was forged in the inspection bays. Over three grueling days, our vehicle was put to the ultimate test, and we passed every single one: mKit, eKit, aKit, and all six of the formidable Autonomous TI checks. This accomplishment is a direct testament to the thousands of hours our team poured into building a vehicle that is not just innovative, but fundamentally safe and robust.

Our journey through the three phases of this competition?from preliminary designs and simulations to the final track-side execution?was a masterclass. We excelled in the concept and presentation stages, proving the strength of our engineering design. However, the track itself is the final, unforgiving judge. We faced challenges that can never be simulated: a damaged camera cable moments before our Traffic Sign/Light Detection event, a CAN bus conflict that hampered our Autonomous Emergency Braking run, and the sheer pressure of debugging a complex distributed system against the clock. These weren't failures; they were the most valuable, high-stakes lessons an engineer could ask for.

This entire endeavor would have been impossible without two key pillars: our mentor and our team.

An immense congratulations and our deepest gratitude to our faculty advisor, Er. LEVIN ROBY ABRAHAM, whose unconditional support and guidance were our foundation. His dedication was recognized on a national stage as he was honored with the prestigious Dronacharya Award for the All India Best Faculty Advisor. Sir, this achievement is as much yours as it is ours.

And to the heart and soul of this mission, Team Equinox:
Our dear Captain Ahalya Nair, Vice Captain Shawn Anish Chirappuram, Autonomous head ASHISH SHAJAN,  Electrical Head Naveen Shaji George, Mechanical Head Mervin Mathew, Manager Muhammed Ajmal K, driver Asher James, Ihesanul Haq, Mathew George Chunkathil, Thampu Varghese Jacob, Shreya Ann Alexander, Aryananda Ashok, Benoni K Binoy, Tomin Michael, Alen Joe Abey, Alen Thomas Saji, Nandana Sreekumar, Aswan A S, Dhanush G, Emil Phil Vinod, Rohith, Jithin Shaji, Jithin Jayakumar, Krishna Malliath, Neha, Jane Sara Reji and Jiji Abraham Issac.

Thank you. For every line of code, every soldered joint, every late night, and every moment of shared belief.

#BAJASAEINDIA #SAEINDIA #TeamEquinox #AIR7 #Top10 #DronacharyaAward #ElectricVehicle #StudentCompetition #Engineering #Teamwork #Automotive #Perseverance #ROS #CANbus #Kerala",https://media.licdn.com/dms/document/media/v2/D561FAQFPIxGZQEl0Ag/feedshare-document-sanitized-pdf/B56ZncS2sCHUA8-/0/1760337612004?e=1769576400&v=beta&t=YdvKxwRYre1akqj5F4v3hUhemdSQyPa3zhzbiNnMqlw
"You uploaded a feed document on September 5, 2025 at 9:30 AM (GMT)", -,https://media.licdn.com/dms/document/media/v2/D561FAQEnXxO0YDhq1A/feedshare-document-chunked-pdf/B56ZkZNuyDHMB4-/0/1757064656417?e=1769576400&v=beta&t=pxARMpYaLI6DRD9McooBFP7aEV1VLAWQli5tXhB3Yqw
"You uploaded a feed photo on September 4, 2025 at 4:14 PM (GMT)","Absolutely thrilled and deeply honored to share a monumental milestone for our team at Saintgits College of Engineering (Autonomous).

I'm incredibly proud to have been a part of the foundational student team for the newly inaugurated Taiwan-India Integrated Command and Control Centre for Sustainable Smart Cities. This groundbreaking initiative, in collaboration with the brilliant minds at National Chung Cheng University, Taiwan, marks the launch of the world's first cross-nation federated AI learning platform.

Our role was to build the critical IoT infrastructure that feeds this powerful AI system with real-world environmental data.
Our team was responsible for designing, building, and deploying prototypes of comprehensive stations(nodes) to measure data for air quality, water quality, salinity etc under the charge of our faculty mentors NISHANTH P R and Jyothish Chandran G.

I'm particularly proud of my role in co-ordinating and architecting the end-to-end data pipeline, moving data from sensors to screen. We built a robust system using ESP32 microcontrollers, publishing data via MQTT for real-time efficiency, and channeling it through a Python service into a MySQL database. This data is now served via a custom Flask API to a live dashboard, providing a complete, scalable solution. It was a masterclass in system design and integration. 

This achievement was only possible through immense collaboration and guidance.

Profound gratitude to Professor Pao-Ann Hsiung of CCU, Dr. Yang Lung-Jieh, and the entire delegation from the Taipei Economic and Cultural Center in India for their vision and for entrusting us with this opportunity.

And of course, this would have been impossible without my incredible teammates: Sidharth Sajith, Govind Krishna C and Tharun Oommen Jacob who worked on creating the database, server as well as the dashboards for the entire system to show the data live from the prototype nodes, Nakul Krishna Ajayan, Abin Abraham, Abhishek P J and Tom Toms for helping out with the air quality node, Rishikesh R and Elena Elizabeth Cherian who worked on the Water level and salinity monitoring Node and Emil Phil Vinod who worked on the Drinking Water quality monitoring Node. 

Again a big thanks on guiding us on this Nishant sir and Jyothish sir as well as many other faculties who were incharge, Dr. Pradeep Chandrasekhar, thank you sir.

Anyway happy to be a part till now and and excited on contributing to this more on the future.

This project was more than just code and circuits; it was a profound lesson in international collaboration, system architecture, and the future of smart city technology. Excited to see how this platform evolves and contributes to cutting-edge AI research.

Facebook Post:
https://lnkd.in/gq26bGcZ

#IoT #SmartCities #AI #FederatedLearning #TaiwanIndiaCollaboration #MQTT #MySQL #ESP32 #Python #Engineering #Saintgits #CCU #MakeInIndia #DigitalIndia #TeamManagment",
"You uploaded a feed photo on September 4, 2025 at 4:14 PM (GMT)", -,https://media.licdn.com/dms/image/v2/D5622AQFYA8GQpyL0Ew/feedshare-shrink_20/B56ZkVgiF3IABI-/0/1757002476369?e=1770854400&v=beta&t=HtPtlIKbzJqgzyUPzj-MrJ9ZyHQ6eIDyF9IBQGzImDw
"You uploaded a feed photo on September 4, 2025 at 4:14 PM (GMT)", -,https://media.licdn.com/dms/image/v2/D5622AQHND-_fTz-GYA/feedshare-shrink_800/B56ZkVgiFvH8A0-/0/1757002476785?e=1770854400&v=beta&t=7-Q6wvdmFZ0tQhMv44MXJ0UQf2k5XO64EKPGjbbVlZA
"You uploaded a feed photo on September 4, 2025 at 4:14 PM (GMT)", -,https://media.licdn.com/dms/image/v2/D5622AQE1EJVHKcxr_A/feedshare-shrink_800/B56ZkVgiF3H8Ag-/0/1757002475173?e=1770854400&v=beta&t=Ir_RXEcGYaQeqYNWirEN16vrwMr8f4hVEmGMgukP4rk
"You uploaded a feed photo on September 4, 2025 at 4:14 PM (GMT)", -,https://media.licdn.com/dms/image/v2/D5622AQGwfqFnHSkrIA/feedshare-shrink_800/B56ZkVgiFjIAAk-/0/1757002475332?e=1770854400&v=beta&t=pliAZQdTSeAngZled0S6RP1fVAMvEgDDyISKdWyLRvE
"You uploaded a feed photo on August 31, 2025 at 4:50 AM (GMT)","For anyone working with low-cost Mecanum-wheeled robots, accurate odometry without wheel encoders is a significant challenge. Standard kinematic models often fail to account for the real-world dynamics of continuous rotation servos, leading to severe drift.

To address this, I'm open-sourcing the complete ROS 2 Humble software stack for ""Project Orion,"" a UGV I developed. This repository provides a working solution for robust localization on this challenging hardware.

GitHub Repository: https://lnkd.in/gEzjGPmv

Key Technical Features:
? Encoder-less Odometry: A forward_kinematics node that generates a stable wheel odometry stream purely from calibrated servo commands.
? State-Based Kinematic Calibration (SBKC): Includes the scripts and methodology we developed to tune the kinematic model for asymmetric drive mechanics (forward vs. strafing vs. rotation), significantly reducing open-loop drift.
? High-Fidelity URDF: A detailed XACRO-based robot model, including a kinematically correct pan-tilt mechanism and properly defined sensor frames (REP-103 compliant) for the HP60C RGB-D camera and IMU.
? Full Hardware Pipeline: Includes a complete, multi-tiered architecture for interfacing ROS 2 on an Orin Nano with a Teensy/Arduino for real-time control and sensor processing.

This project is for robotics students, hobbyists, and researchers who are building similar encoder-less Mecanum platforms and need a solid foundation for control and SLAM.

This work was developed as part of my internship at CSIR - National Aerospace Laboratories (NAL). Huge thanks to my collaborator Adithya Satheesh, who was instrumental in developing the 3D models and providing invaluable support throughout the project.

Feedback and contributions are welcome.

#ROS2 #Robotics #Mecanum #SLAM #Odometry #OpenSource #URDF #Jetson #Engineering",
"You uploaded a feed photo on August 31, 2025 at 4:50 AM (GMT)", -,https://media.licdn.com/dms/image/v2/D5622AQHD_uODFX1fwA/feedshare-shrink_800/B56Zj.drrSG0Ak-/0/1756615852205?e=1770854400&v=beta&t=yf7SRU8vaRXPZVdaDxVKLA40qM3B9v0AlMXuWGrOHyk
"You uploaded a feed photo on August 31, 2025 at 4:50 AM (GMT)", -,https://media.licdn.com/dms/image/v2/D5622AQH656hehCSedg/feedshare-shrink_480/B56Zj.drqBG4AY-/0/1756615851700?e=1770854400&v=beta&t=1TOHwebEgOiC_2lsAZswF33PkYc7UATNapvFxXdLu-A
"You uploaded a feed photo on August 4, 2025 at 6:19 PM (GMT)","The spec sheet for a device like the NVIDIA Jetson Orin Nano only tells half the story. To see what it's really capable of, We ran a series of CPU benchmarks across its different power profiles. We wanted to see the real numbers behind the marketing, and the results are telling.

The method was straightforward: use nvpmodel to select a power profile, jetson_clocks to lock the frequencies for that mode, and sysbench to run a 6-thread prime number calculation. Live stats were monitored with jtop.

Here's a direct comparison of the three key modes:

25W Mode: This is the default high-performance profile. It locks the CPU at 1.34 GHz and gives the GPU maximum priority. This scored 3448 events per second.
(Which is really interesting cause its supposed to be at 1.7GHz as I tested and confirmed with another Orin nano before. 
Any clues on why, maybe some config file bug or something else entirely.)

15W Mode: Interestingly, this lower power mode produced a higher CPU score of 3843 events per second. The jetson_clocks output shows why: it allocates less power to the GPU, allowing the CPU to lock in at a faster 1.5 GHz.
(Which is expected ofc)

MAXN_SUPER Mode: This is the unconstrained, ""max-effort"" mode. It removes the official wattage limit entirely. The result was a big performance increase, scoring 4437 events per second.
The most important finding came from running jtop in MAXN mode. The Orin Nano CPU pushed past its official 1.5 GHz specification, holding a completely stable 1.7 GHz on all six cores under full load. Total system power draw was a modest 11.1W for this CPU-only test, and the CPU temperature stayed at a healthy 71C. Plus the GPU was 1.02Ghz which is the max we found out.

And the last power mode which is 7W. which shows a 960MHz clock speed for only 4 active cores.(Which is the lowest anyway).

Thank You to my friend Sidharth Sajith for helping me test this out and made me familiar with many of the keywords here. 

Conclusion: The Jetson Orin Nano is an impressive piece of hardware with smart power management. The ""best"" mode really depends on your work. For a GPU-heavy AI task, the 25W profile is the way to go. But for CPU-bound work like compiling code, the 15W mode actually provides a faster CPU clock. And for short bursts, the MAXN mode shows what the silicon is truly capable of.

#NVIDIA #Jetson #OrinNano #EdgeAI #EmbeddedSystems #Linux #Benchmarking #PerformanceTuning #CPUTest",
"You uploaded a feed photo on August 4, 2025 at 6:19 PM (GMT)", -,https://media.licdn.com/dms/image/v2/D5622AQG0XdcNBISfuA/feedshare-shrink_800/B56Zh2T1elH0Ao-/0/1754331569192?e=1770854400&v=beta&t=vnIylA-jZmO6G8PEbQSQjf_JOJqfGhFZPLW_SHbrgK0
"You uploaded a feed photo on August 4, 2025 at 6:19 PM (GMT)", -,https://media.licdn.com/dms/image/v2/D5622AQEX0ejf88fxeg/feedshare-shrink_160/B56Zh2T1emG4Ac-/0/1754331570327?e=1770854400&v=beta&t=mUHtKWjlkQx-hRNiNc4QsfNRniQBDtl_PeMp1npKv1A
"You uploaded a feed photo on August 4, 2025 at 6:19 PM (GMT)", -,https://media.licdn.com/dms/image/v2/D5622AQHw8A0QToKgqg/feedshare-shrink_160/B56Zh2T1eiHkAk-/0/1754331580132?e=1770854400&v=beta&t=1Lz0l_KjNPrgRLDOMYh1IrY-gDZ_iw0M7MiIdQNwr8o
"You uploaded a feed photo on August 4, 2025 at 6:19 PM (GMT)", -,https://media.licdn.com/dms/image/v2/D5622AQG0cwBqbBHzwQ/feedshare-shrink_20/B56Zh2T1egHcA4-/0/1754331569256?e=1770854400&v=beta&t=ON0Tv9IrYwASY-jkeV8zeww-GqyvsszsvMD3Y3KaXCc
"You uploaded a feed photo on August 4, 2025 at 6:19 PM (GMT)", -,https://media.licdn.com/dms/image/v2/D5622AQGRFuAwK7JUtQ/feedshare-shrink_160/B56Zh2T1eiHcAg-/0/1754331569145?e=1770854400&v=beta&t=Ujjcj6H2ONG2wLDGjf_EjiU4dcRjo0uLtnRRa1Nw2fM
"You uploaded a feed photo on August 4, 2025 at 6:19 PM (GMT)", -,https://media.licdn.com/dms/image/v2/D5622AQGsm16H3SuZrg/feedshare-shrink_1280/B56Zh2T1ehHkAo-/0/1754331569123?e=1770854400&v=beta&t=WC9Rmd9wb0E0QiyMNWyAZ3I4DPb_ofeF6axV7XSYDyQ
